order_id,order_ts,region,category,customer_id,units,unit_price,discount,shipping_cost
360000,2026-01-18 12:16:52,Norte,Deportes,31388,7,219.58,0.1,1.63
360001,2026-01-12 01:51:51,Norte,Moda,8747,1,356.29,0.1,15.6
360002,2026-02-04 09:33:42,Centro,Tecnologia,16091,4,163.58,0.15,14.0
360003,2026-01-16 03:29:43,Centro,Tecnologia,27063,7,32.45,0.1,14.3
360004,2026-01-17 17:17:41,Norte,Hogar,29035,4,378.67,0.0,1.5
360005,2026-01-30 04:27:57,Occidente,Tecnologia,14179,3,209.04,0.0,14.26
360006,2026-02-21 04:21:05,Centro,Tecnologia,17701,4,94.5,0.05,12.84
360007,2026-02-08 23:40:51,Centro,Tecnologia,7572,3,436.98,0.15,6.9
360008,2026-02-17 04:24:23,Occidente,Moda,11337,6,242.33,0.1,6.12
360009,2026-02-14 08:59:30,Occidente,Moda,12886,3,84.15,0.15,8.13
360010,2026-01-28 13:36:05,Centro,Hogar,3937,1,79.36,0.05,7.31
360011,2026-02-12 15:54:23,Norte,Tecnologia,20824,4,213.84,0.0,6.04
360012,2026-01-13 11:58:55,Occidente,Tecnologia,16469,2,81.5,0.0,2.11
360013,2026-01-21 02:03:32,Sur,Moda,5897,2,223.07,0.05,13.84
360014,2026-02-07 07:09:32,Sur,Deportes,26877,6,345.48,0.0,5.9
360015,2026-02-05 06:07:02,Centro,Moda,21075,5,19.09,0.0,2.26
360016,2026-01-29 15:25:01,Centro,Hogar,16084,1,390.62,0.1,4.14
360017,2026-02-27 06:20:13,Centro,Tecnologia,32559,5,215.16,0.15,1.04
360018,2026-01-15 21:15:50,Centro,Tecnologia,31133,1,35.28,0.0,10.57
360019,2026-02-11 16:41:35,Norte,Tecnologia,38929,2,420.71,0.05,17.42
360020,2026-02-24 08:14:29,Occidente,Tecnologia,29163,7,89.31,0.0,11.44
360021,2026-01-13 19:19:16,Sur,Hogar,7083,6,124.6,0.1,6.46
360022,2026-01-23 22:52:18,Norte,Moda,33849,2,89.36,0.05,2.34
360023,2026-01-09 07:13:53,Norte,Hogar,34757,6,407.63,0.1,3.04
360024,2026-02-01 09:35:48,Centro,Tecnologia,4665,3,151.65,0.0,12.96
360025,2026-02-11 17:23:29,Occidente,Hogar,27732,7,358.18,0.0,13.4
360026,2026-01-12 13:09:26,Occidente,Moda,32866,2,142.67,0.0,15.66
