order_id,order_ts,region,category,customer_id,units,unit_price,discount,shipping_cost
600000,2026-01-26 09:58:00,Centro,Tecnologia,16764,3,231.37,0.15,7.8
600001,2026-01-05 20:25:20,Sur,Moda,29255,3,58.3,0.0,13.14
600002,2026-02-26 12:33:15,Sur,Tecnologia,34100,1,208.58,0.0,1.59
600003,2026-02-24 21:40:33,Centro,Moda,15338,4,430.69,0.0,1.21
600004,2026-01-30 15:50:16,Norte,Hogar,17701,5,206.42,0.05,7.43
600005,2026-01-17 22:47:39,Sur,Moda,20551,5,220.97,0.0,2.51
600006,2026-01-25 22:25:46,Occidente,Tecnologia,32851,2,408.05,0.0,1.61
600007,2026-02-07 16:11:53,Centro,Tecnologia,15694,6,202.06,0.15,11.99
600008,2026-02-20 11:30:44,Centro,Moda,34976,7,9.01,0.05,10.6
600009,2026-02-19 06:03:59,Sur,Deportes,764,4,89.66,0.05,4.17
600010,2026-01-07 18:00:01,Centro,Moda,33134,1,228.58,0.0,11.12
600011,2026-02-27 15:02:18,Occidente,Deportes,14482,3,48.21,0.05,9.69
600012,2026-01-21 06:20:53,Centro,Hogar,38720,6,289.46,0.0,11.53
600013,2026-01-10 13:43:27,Centro,Moda,27188,2,193.14,0.1,8.67
600014,2026-02-15 17:35:37,Norte,Moda,11040,3,14.04,0.05,3.45
600015,2026-01-30 07:28:31,Norte,Hogar,8463,3,231.85,0.0,11.37
600016,2026-02-12 07:24:15,Occidente,Moda,22504,7,14.63,0.0,10.29
600017,2026-02-12 07:01:38,Centro,Hogar,14385,4,221.24,0.1,2.65
600018,2026-02-07 17:30:40,Sur,Deportes,28893,4,319.6,0.0,14.1
600019,2026-01-21 01:26:42,Centro,Hogar,4203,3,394.62,0.05,5.69
600020,2026-01-20 02:34:19,Occidente,Hogar,33299,5,64.98,0.0,12.79
600021,2026-02-25 17:32:32,Norte,Deportes,15092,7,255.26,0.1,10.53
600022,2026-01-12 11:05:07,Norte,Hogar,9590,4,344.52,0.0,11.56
600023,2026-01-11 01:33:06,Sur,Tecnologia,5296,2,43.49,0.05,13.62
600024,2026-01-31 20:03:59,Sur,Hogar,16492,7,393.18,0.05,6.23
600025,2026-02-09 09:35:19,Norte,Tecnologia,9361,5,267.22,0.15,16.38
600026,2026-02-26 06:37:59,Norte,Moda,15127,7,251.95,0.05,11.03
600027,2026-01-30 06:36:20,Occidente,Tecnologia,23962,5,31.29,0.1,3.47
600028,2026-02-28 17:33:10,Centro,Tecnologia,26544,5,189.98,0.15,8.77
600029,2026-02-16 02:02:02,Centro,Hogar,19800,3,119.97,0.0,15.91
600030,2026-02-26 06:36:56,Centro,Deportes,9423,2,129.48,0.2,9.24
600031,2026-01-08 21:24:55,Centro,Moda,26449,4,128.31,0.0,1.44
600032,2026-02-13 21:46:10,Norte,Deportes,39430,5,182.14,0.0,1.9
600033,2026-02-02 17:09:46,Occidente,Moda,2397,4,307.06,0.0,7.93
600034,2026-01-10 20:04:02,Centro,Hogar,16164,2,249.7,0.1,17.6
600035,2026-02-20 01:38:57,Sur,Tecnologia,1460,1,179.19,0.05,1.05
600036,2026-02-16 15:22:13,Centro,Deportes,13930,4,165.23,0.0,8.92
600037,2026-02-05 15:54:24,Occidente,Hogar,9209,2,122.04,0.1,14.91
600038,2026-02-19 01:58:17,Norte,Moda,21057,4,411.08,0.15,8.04
600039,2026-01-02 12:52:07,Sur,Deportes,25173,7,262.53,0.1,10.29
600040,2026-01-31 06:46:23,Centro,Tecnologia,582,5,333.18,0.0,13.01
600041,2026-01-26 09:24:35,Occidente,Deportes,16276,3,370.02,0.0,7.53
600042,2026-01-02 07:40:38,Sur,Moda,35795,1,17.08,0.0,12.32
600043,2026-01-29 18:51:29,Centro,Tecnologia,24905,7,220.59,0.1,1.33
600044,2026-02-20 13:11:20,Sur,Hogar,27703,6,55.97,0.1,9.77
600045,2026-02-18 18:08:04,Centro,Moda,5399,7,157.61,0.0,4.21
600046,2026-02-16 17:52:44,Sur,Moda,9415,3,325.25,0.0,14.68
600047,2026-01-07 10:03:46,Centro,Tecnologia,28634,3,319.84,0.0,6.85
600048,2026-01-04 06:23:51,Centro,Tecnologia,39593,1,16.34,0.05,4.86
600049,2026-01-23 14:26:02,Norte,Tecnologia,34278,3,406.8,0.1,1.79
600050,2026-02-21 02:11:08,Centro,Tecnologia,38152,5,314.0,0.1,1.81
600051,2026-02-01 18:59:38,Sur,Hogar,33456,1,14.62,0.15,5.18
600052,2026-02-05 14:35:55,Centro,Tecnologia,22041,1,278.95,0.05,13.41
600053,2026-02-06 08:26:17,Norte,Hogar,39634,7,184.67,0.0,13.47
600054,2026-01-26 09:57:35,Norte,Moda,18720,7,444.21,0.05,9.73
600055,2026-01-25 01:46:22,Centro,Tecnologia,30739,1,337.04,0.15,13.99
600056,2026-02-23 01:15:08,Sur,Tecnologia,39635,5,127.9,0.1,12.59
600057,2026-02-04 02:57:17,Occidente,Tecnologia,16665,4,314.69,0.2,11.1
600058,2026-01-13 12:54:53,Norte,Deportes,21606,2,137.03,0.0,1.89
600059,2026-02-22 05:41:28,Centro,Tecnologia,23787,6,390.3,0.15,14.38
600060,2026-02-25 13:02:09,Norte,Tecnologia,2068,4,163.39,0.1,10.44
